,OID_,Location,centroid_lat,centroid_lon
0,0,Chhutmalpur,30.203155852098394,77.82734063969477
1,1,Chhutmalpur,30.203155852098394,77.83183063969486
2,2,Clement Town,30.203155852098394,77.83632063969472
3,3,Clement Town,30.203155852098394,77.84081063969481
4,4,Clement Town,30.203155852098394,77.84530063969487
5,5,Clement Town,30.203155852098394,77.84979063969486
6,6,Clement Town,30.203155852098394,77.85428063969475
7,7,Clement Town,30.203155852098394,77.85877063969471
8,8,Clement Town,30.203155852098394,77.8632606396948
9,9,Clement Town,30.203155852098394,77.86775063969486
10,10,Clement Town,30.203155852098394,77.87224063969485
11,11,Clement Town,30.203155852098394,77.87673063969481
12,12,Clement Town,30.203155852098394,77.8812206396948
13,13,Clement Town,30.203155852098394,77.88571063969476
14,14,Clement Town,30.203155852098394,77.89020063969483
15,15,Clement Town,30.203155852098394,77.89469063969484
16,16,Clement Town,30.203155852098394,77.8991806396948
17,17,Clement Town,30.203155852098394,77.9036706396948
18,18,Clement Town,30.203155852098394,77.90816063969476
19,19,Clement Town,30.203155852098394,77.91265063969482
20,20,Clement Town,30.203155852098394,77.91714063969481
21,21,Clement Town,30.203155852098394,77.92163063969477
22,22,Clement Town,30.203155852098394,77.92612063969486
23,23,Clement Town,30.203155852098394,77.93061063969475
24,24,Clement Town,30.203155852098394,77.93510063969481
25,25,Clement Town,30.203155852098394,77.9395906396948
26,26,Clement Town,30.203155852098394,77.94408063969476
27,27,Clement Town,30.203155852098394,77.94857063969475
28,28,Clement Town,30.203155852098394,77.95306063969471
29,29,Clement Town,30.203155852098394,77.9575506396948
30,30,Clement Town,30.203155852098394,77.96204063969486
31,31,Clement Town,30.203155852098394,77.96653063969485
32,32,Clement Town,30.203155852098394,77.97102063969481
33,33,Clement Town,30.203155852098394,77.9755106396948
34,34,Clement Town,30.203155852098394,77.9800006396948
35,35,Clement Town,30.203155852098394,77.98449063969485
36,36,Clement Town,30.203155852098394,77.98898063969484
37,37,Clement Town,30.203155852098394,77.9934706396948
38,38,Clement Town,30.203155852098394,77.9979606396948
39,39,Clement Town,30.203155852098394,78.00245063969476
40,40,Clement Town,30.203155852098394,78.00694063969482
41,41,Clement Town,30.203155852098394,78.01143063969484
42,42,Clement Town,30.203155852098394,78.0159206396948
43,43,Clement Town,30.203155852098394,78.02041063969486
44,44,Clement Town,30.203155852098394,78.02490063969475
45,45,Clement Town,30.203155852098394,78.02939063969481
46,46,Clement Town,30.203155852098394,78.0338806396948
47,47,Clement Town,30.203155852098394,78.03837063969476
48,48,Clement Town,30.203155852098394,78.04286063969478
49,49,Clement Town,30.203155852098394,78.04735063969474
50,50,Clement Town,30.203155852098394,78.0518406396948
51,51,Doiwala,30.203155852098394,78.05633063969479
52,52,Doiwala,30.203155852098394,78.06082063969475
53,53,Doiwala,30.203155852098394,78.06531063969484
54,54,Doiwala,30.203155852098394,78.06980063969483
55,55,Doiwala,30.203155852098394,78.0742906396948
56,56,Doiwala,30.203155852098394,78.07878063969486
57,57,Doiwala,30.203155852098394,78.08327063969485
58,58,Doiwala,30.203155852098394,78.0877606396948
59,59,Doiwala,30.203155852098394,78.0922506396948
60,60,Doiwala,30.203155852098394,78.09674063969479
61,61,Doiwala,30.203155852098394,78.10123063969485
62,62,Doiwala,30.203155852098394,78.10572063969484
63,63,Doiwala,30.203155852098394,78.1102106396948
64,64,Doiwala,30.203155852098394,78.11470063969486
65,65,Doiwala,30.203155852098394,78.11919063969475
66,66,Doiwala,30.203155852098394,78.12368063969481
67,67,Doiwala,30.203155852098394,78.12817063969483
68,68,Doiwala,30.203155852098394,78.13266063969479
69,69,Doiwala,30.203155852098394,78.13715063969478
70,70,Doiwala,30.203155852098394,78.14164063969474
71,71,Doiwala,30.203155852098394,78.1461306396948
72,72,Doiwala,30.203155852098394,78.1506206396948
73,73,Doiwala,30.203155852098394,78.15511063969475
74,74,Doiwala,30.203155852098394,78.15960063969484
75,75,Doiwala,30.203155852098394,78.16409063969483
76,76,Doiwala,30.203155852098394,78.1685806396948
77,77,Doiwala,30.203155852098394,78.17307063969479
78,78,Doiwala,30.203155852098394,78.17756063969475
79,79,Doiwala,30.203155852098394,78.18205063969484
80,80,Doiwala,30.203155852098394,78.18654063969483
81,81,Doiwala,30.203155852098394,78.19103063969479
82,82,Doiwala,30.203155852098394,78.19552063969485
83,83,Doiwala,30.203155852098394,78.20001063969484
84,84,Doiwala,30.203155852098394,78.2045006396948
85,85,Narendranagar,30.203155852098394,78.20899063969479
86,86,Narendranagar,30.203155852098394,78.21348063969478
87,87,Narendranagar,30.203155852098394,78.21797063969484
88,88,Narendranagar,30.203155852098394,78.22246063969483
89,89,Narendranagar,30.203155852098394,78.22695063969479
90,90,Narendranagar,30.203155852098394,78.23144063969478
91,91,Narendranagar,30.203155852098394,78.23593063969474
92,92,Narendranagar,30.203155852098394,78.2404206396948
93,93,Narendranagar,30.203155852098394,78.24491063969482
94,94,Narendranagar,30.203155852098394,78.24940063969478
95,95,Narendranagar,30.203155852098394,78.25389063969484
96,96,Narendranagar,30.203155852098394,78.25838063969483
97,97,Narendranagar,30.203155852098394,78.2628706396948
98,98,Narendranagar,30.203155852098394,78.26736063969479
99,99,Narendranagar,30.203155852098394,78.27185063969475
100,100,Narendranagar,30.203155852098394,78.27634063969484
101,101,Narendranagar,30.203155852098394,78.28083063969483
102,102,Narendranagar,30.203155852098394,78.28532063969479
103,103,Narendranagar,30.203155852098394,78.28981063969478
104,104,Narendranagar,30.203155852098394,78.29430063969474
105,105,Narendranagar,30.203155852098394,78.29879063969483
106,106,Narendranagar,30.203155852098394,78.30328063969482
107,107,Narendranagar,30.203155852098394,78.30777063969478
108,108,Chhutmalpur,30.207645852098345,77.82734063969477
109,109,Clement Town,30.207645852098345,77.83183063969486
110,110,Clement Town,30.207645852098345,77.83632063969472
111,111,Clement Town,30.207645852098345,77.84081063969481
112,112,Clement Town,30.207645852098345,77.84530063969487
113,113,Clement Town,30.207645852098345,77.84979063969486
114,114,Clement Town,30.207645852098345,77.85428063969475
115,115,Clement Town,30.207645852098345,77.85877063969471
116,116,Clement Town,30.207645852098345,77.8632606396948
117,117,Clement Town,30.207645852098345,77.86775063969486
118,118,Clement Town,30.207645852098345,77.87224063969485
119,119,Clement Town,30.207645852098345,77.87673063969481
120,120,Clement Town,30.207645852098345,77.8812206396948
121,121,Clement Town,30.207645852098345,77.88571063969476
122,122,Clement Town,30.207645852098345,77.89020063969483
123,123,Clement Town,30.207645852098345,77.89469063969484
